NUMERO,F8,F2,F3,REGION,F4,F5,P7_1,P7_2,P7_3,P7_4,P7_1_A,P7_1_B,P7_1_C,P7_1_D,P8_A_1,P8_A_2,P8_A_3,P8_A_4,P8_A_5,P8_A_6,P8_A_7,P8_A_8,P8_A_9,P8_B_1,P8_B_2,P8_B_3,P8_B_4,P8_B_5,P8_B_6,P8_B_7,P8_B_8,P8_B_9,P8_C_1,P8_C_2,P8_C_3,P8_C_4,P8_C_5,P8_C_6,P8_C_7,P8_C_8,P8_C_9,P8_D_1,P8_D_2,P8_D_3,P8_D_4,P8_D_5,P8_D_6,P8_D_7,P8_D_8,P8_D_9,P9_1,P9_2,P9_3,P9_4,P9_5,P9_6,P9_7,P9_8,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P10_8,P10_9,P10_10,P11_1,P11_2,P11_3,P11_4,P11_5,P11_6,P11_7,P11_8,P11_9,P11_10,P11_11,P11_12,P11__1,P11__2,P11__3,P12,P15_1,P15_2,P15_3,P15_4,P15_5,P15_6,P15_7,P15_8,P15_9,P15_10,P15_11,P15_12,P15_90,P17,P19,P20_1,P20_2,P20_3,P20_4,P20_5,P20_6,P20_7,P21,P22_1,P22_2,P22_3,P22_4,P22_5,P22_6,P22_7,P22_8,P22_9,P23,P24_1,P24_2,P24_3,P24_4,P24_5,P24_6,P24_7,P24_8,P24_9,P24_10,P25,P26_A,P26_B,P26_C,P26_D,P26_E,P27_1,P27_2,P27_3,P27_4,P27_5,P27_6,P27_7,P27_8,P27_9,P28,P29,P30_A,P30_B,P30_C,P30_D,P30_E,P31_1,P31_2,P31_3,P31_4,P31_5,P31_6,P31_7,P31_OTRO,P31_OTRO_COD,P32,P33_A,P33_B,P33_C,P33_D,P33_E,P33_F,P33_G,P33_H,P33_I,P33_J,P33_K,P33_L,P33_M,P33_N,P33_O,P33_P,P33_Q,P33_R,P33_S,P33_T,P33_U,P33_V,P33_W,P33_X,P33_Y,P37_1,P37_2,P37_3,P37_4,P37_5,P37_6,P37_7,P37_8,P37_9,P37_10,P37_11,P37_12,P37_13,P37_OTRO,P37_OTRO_COD,P38_1,P38_2,P38_3,P38_4,P38_5,P38_6,P38_7,P38_8,P38_9,P38_10,P38_11,P38_12,P38_13,P38_OTRO,P38_OTRO_COD,P39_A,P39_B,P39_C,P39_D,P39_E,P39_F,P39_G,P40_A,P40_B,P40_C,P40_D,P40_E,P40_F,P70,P70_OTRO,P70_OTRO_COD,P71_A,P71_B,P71_C,P71_D,P71_E,P41_1,P41_2,P41_3,P41_4,P42,P43,P44_1,P44_2,P44_3,P44_4,P45_1,P45_2,P45_3,P45_4,P45_5,P45_6,P45_7,P45_8,P45_9,P46,P47,P47A,P47A_COD_1,P47A_COD_2,P47A_COD_3,P47A_COD_4,P47A_COD_5,P47A_COD_6,P48,P49,P50,P51_A,P51_B,P51_C,P52,P53,P54_1,P54_2,P54_3,P54_4,P55_1,P55_2,P55_3,P55_4,P56,P56_1,P57,P58,P59_A,P59_B,P59_C,P59_D,P59_E,P59_F,P59_G,P59_H,P59_I,P60,P61,P61_OTRA,P61_OTRA_COD,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61A_9,P61A_OTRO,P61A_OTRO_COD,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8,P61B_9,P61B_OTRO,P61B_OTRO_COD,P62,P63,P64,FACTOR_REGION,FACTOR_TOTAL
2401,3,16 SOCIEDAD POR ACCIONES SIMPLIFICADA,1,1,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,2,,,0,1,,3,,,6,,,,,,,,3,1,,,,,5,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,3,2,4,4,3,3,3,3,3,3,3,3,4,2,2,4,4,4,3,2,3,3,,,3,,,,,8,,,,,,,,,,3,,5,6,,,,,,,,,,5,2,4,4,4,4,3,4,4,4,3,5,4,4,,,3,1,2,4,5,1,2,3,,2,1,,,,,,,3,,,,,,,1,1,FORMULARIOS ANTICORRUPCION,30,,,,,,2,1,2,1,1,1,2,1,,,3,,,,,90,3,4,3,2,,,,,,,,,,,,,,,2,,4,,,,,,,,1,,,,,,,,,,,1,44,4,212.4869565,209.6189112
2402,2,16 SOCIEDAD POR ACCIONES SIMPLIFICADA,1,1,3,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,6,7,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,9,,,,,,,,,,,,,,2,2,2,0,,2,,4,,,,,,,,12,,3,1,,,3,,,,,1,,,,,,,,,,1,,,,,,,7,,,,2,4,3,4,4,4,,,,,,6,,,,2,,2,3,4,4,4,,,,4,,,,,,4,4,2,3,5,3,4,4,3,4,4,4,4,1,3,4,4,1,3,4,3,4,5,3,4,4,,,3,4,,,,,,10,,,,,,,,,,,6,,8,,,11,,,,,5,3,1,2,5,5,5,5,4,1,1,2,4,1,,,5,3,4,1,2,,,,90,1,1,,,,,,,3,,,,,,,1,1,"CAPACITACION DE PERSONAL, PRINCIPIOS ETICOS",14,17,,,,,3,1,1,1,1,1,3,2,,,,4,,,,90,3,5,3,1,2,1,2,2,2,2,1,2,2,1,2,,,,,,,,,,,90,,,,,,4,,,,,,,,1,40,6,194.4655172,170.0422535
2403,2,16 SOCIEDAD POR ACCIONES SIMPLIFICADA,1,1,2,1,,2,,,,,,,,,,,,,,,,1,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,6,,,,,,,,,,,,,,,,,2,,,0,,2,,,,6,,,9,,,,,3,1,,2,,,5,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,3,4,4,1,3,1,2,2,3,2,2,1,3,3,3,1,3,3,3,1,1,3,3,,,,4,,,,,9,10,,,,,,1,,,,,6,,8,,,,,,,,4,3,3,3,4,4,3,3,2,1,3,1,3,2,,,2,3,5,1,4,,,,90,1,1,,,,,1,,,4,,6,,8,,1,1,"FACTURACION ELECTRONICA, TRANSFERENCIAS BANCARIAS Y SEGUIMIENTOS",13,,,,,,2,2,1,1,1,1,3,1,1,2,,,,,,90,2,3,1,1,1,2,1,2,1,2,2,2,2,2,,,,1,2,,,5,,,,,,,,2,,4,,,,,,,,1,37,3,212.4869565,209.6189112
2404,3,01 PERSONA NATURAL,1,1,2,1,1,2,3,,40,10,50,,,2,,,,,,,,,,3,,,,7,,,,,,4,,,7,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,0,,,,,,,,,9,,11,12,,4,1,,,3,,5,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,3,4,3,4,3,3,3,4,5,4,2,3,4,3,3,3,4,3,4,2,2,2,2,,,3,,,,,,,,11,12,,,,,,3,,,,7,,,,,12,,,,5,5,5,5,5,5,5,4,4,3,3,4,4,6,,,4,5,2,3,1,,,,90,2,2,1,,,,,,,,,,,,,1,2,,,,,,,,1,2,3,1,2,2,3,2,1,,,,,,,90,3,3,1,2,,,,,,,,,,,,,,,,,4,5,,7,,,,,,2,,,,,,,,,,2,33,4,212.4869565,209.6189112
2405,1,01 PERSONA NATURAL,1,1,2,1,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,2,,,0,,,3,4,,,,,,,11,,,2,2,1,,,,,,,1,,,,,,,,,,1,,,,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,5,5,3,5,3,3,4,5,4,4,3,3,5,4,3,3,4,5,3,3,3,5,,,3,,,,,,9,,11,,,,,,,,,,,,,9,10,11,,,,,5,5,5,5,5,5,5,5,3,3,4,3,3,9,,,1,5,2,3,4,,,,90,1,1,,,,,,2,,4,,,,8,,1,1,VERIFICACION,93,,,,,,3,2,1,1,1,1,1,2,,,,4,,,,90,2,2,3,2,,,,,,,,,,,,,,1,,,,5,,7,,,,,1,,3,,,,7,,,,,1,47,5,212.4869565,209.6189112
2406,1,01 PERSONA NATURAL,1,1,2,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,6,,,,,,,,,,,,,,,,,2,,,0,,,,4,,,,,9,,,12,,3,1,,2,3,,,,,1,,,,,,,,,,1,1,,,,,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,4,5,5,5,4,4,4,4,4,4,3,4,4,5,3,4,4,4,4,4,3,4,4,,2,,,5,,,,9,,,,,,,,,,,,,,,9,10,11,,,,,5,5,5,5,5,5,5,5,5,5,4,4,5,1,,,3,5,4,2,1,,,,90,1,1,,,,,1,,,,5,,,,,1,1,Canales de prevención y validación,93,,,,,,2,1,1,2,2,2,1,2,1,,,,1,,,,1,4,2,2,,,,,,,,,,,,,,1,2,,,,6,,,,,,,,,,5,,,,,,,1,36,5,212.4869565,209.6189112
2407,1,01 PERSONA NATURAL,1,1,1,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,,,,,,,,,,90,4,3,,,,4,,,7,2,,,3,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,3,3,3,3,3,4,3,2,3,3,3,4,4,3,3,3,3,3,3,4,3,,,,,,6,,8,,,,,,,,,,,,5,,,,,,,,,,,4,4,4,5,4,4,5,5,5,5,4,5,5,1,,,1,4,2,3,5,,,,90,3,2,,,3,,,,,,,,,,,2,,,,,,,,,,,,2,2,2,2,1,,,,4,,,,90,2,4,3,2,,,,,,,,,,,,,,,2,,,5,,,,,,,,,3,,,,,,,,,2,66,4,101.2436149,103.5176471
2408,1,16 SOCIEDAD POR ACCIONES SIMPLIFICADA,1,1,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,0,1,,,4,5,,,,,,,,,3,1,,,3,,,,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,3,3,1,3,1,1,2,3,4,1,5,1,5,5,3,2,1,3,1,1,1,1,3,,,,,,,7,8,,10,,,,,,,2,,,,,,8,,10,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,2,,,5,4,3,1,2,,,,90,1,1,,,,,1,2,3,,,,,,,1,1,SER EL UNICO QUE MANEJA EL DINERO,56,,,,,,2,2,3,1,1,2,3,3,,,,4,,,,90,2,3,3,2,,,,,,,,,,,,,,1,2,,,5,,,,,,,1,,,,,,,,,,,1,30,3,212.4869565,209.6189112
2409,4,16 SOCIEDAD POR ACCIONES SIMPLIFICADA,1,1,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,3,,5,,,,9,,,,,3,1,,2,3,,,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3,3,2,4,4,2,3,2,4,4,3,3,3,4,3,1,4,3,3,2,2,3,4,,,,4,,,,8,,,,,,,,,,3,,,,7,,,,,,,,,4,3,2,3,4,5,4,5,5,3,4,4,5,10,,,5,4,2,1,3,,,,90,2,2,1,2,,,,,,,,,,,,1,2,,,,,,,,1,2,92,1,1,2,2,3,,,3,,,,,90,2,2,3,1,1,2,2,2,2,1,2,2,2,1,5,,,,,,,,,,,90,,,,2,,4,,,7,,,,,2,56,3,212.4869565,209.6189112
2410,1,01 PERSONA NATURAL,1,1,1,1,1,,,,,,,,1,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,2,,,0,,,3,,5,6,,,,,,,,2,3,1,,,,,,,2,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,2,1,1,1,3,4,1,4,1,5,1,5,1,3,4,5,3,1,3,5,5,,,3,,5,,,,9,,,,,,,,,,,,6,,8,,10,,,,,,5,5,1,1,5,5,5,5,5,1,1,5,5,10,,,2,5,1,4,3,,,,90,1,1,,,,,,,,,,6,,,,2,,,,,,,,,,,,1,1,2,2,1,1,,,,,,,90,2,1,3,2,,,,,,,,,,,,,,,,,,,6,,,,,,,2,,,,,,,,,,2,51,2,101.2436149,103.5176471
2411,1,01 PERSONA NATURAL,1,1,2,1,,2,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,0,,,,,,,,,,,,,90,3,2,,,3,,,,,2,,,,,,6,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,3,3,3,2,3,2,3,2,2,2,2,3,3,3,4,2,3,3,1,3,2,3,1,,,4,5,,,,,,,,,,,,,,4,,6,,8,,,,,,,,5,5,5,5,5,5,5,1,1,1,5,1,5,8,,,5,3,1,2,4,,,,90,1,2,1,,,4,,,,,,,,,,1,2,,,,,,,,92,2,92,1,1,1,2,2,,,,4,,,,90,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,90,,,,,3,,5,6,,,,,,1,60,3,212.4869565,209.6189112
2412,1,01 PERSONA NATURAL,1,1,1,1,1,,,,,,,,,2,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,8,,,,4,,,,,,,,,,,,,,,,,,,2,,,0,1,,,4,,,,,,,,,,1,3,,,,,5,,,2,1,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,1,5,1,4,4,3,4,4,5,3,5,2,2,2,1,1,5,2,4,2,3,4,2,1,,,,,,,,9,,,12,,,,,,,4,,,,,9,10,,,,,,1,5,3,1,2,1,5,3,3,5,1,4,5,10,,,1,5,4,3,2,,,,90,92,2,,,,4,,,,,,,,,,2,,,,,,,,,,,,2,2,2,3,92,,,,4,,,,90,2,1,3,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,6,,8,,,,1,63,2,101.2436149,103.5176471
2413,1,01 PERSONA NATURAL,1,1,2,1,1,,,,,,,,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,5,,,,1,,3,,5,,,,,,,,,,,,,,,,,,2,,,0,1,,,,,6,,,,,,12,,2,2,,,,4,5,,,2,,,,,5,6,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,4,3,3,2,1,2,2,4,2,3,2,2,3,3,2,3,2,4,2,2,3,3,1,,,4,,,7,,,,,,,,,1,,,,,,,8,9,,,,,,,5,5,5,5,5,5,5,3,3,5,3,3,3,8,,,3,2,4,1,5,,,,90,1,2,,,,4,,,,,,,,,,1,2,,,,,,,,92,2,3,1,1,2,1,3,,,,4,,,,90,2,3,3,1,1,2,2,2,1,1,2,2,2,1,4,,,,,,,,6,,,,,,,2,,4,,,,8,,,,2,37,4,212.4869565,209.6189112
2414,2,01 PERSONA NATURAL,1,1,1,1,1,2,,,90,10,,,1,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,0,,,,,,6,,,,,,,,2,3,,,,,5,,,2,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,3,3,3,2,3,3,2,3,3,1,2,5,3,2,2,1,2,3,1,1,3,2,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,4,4,4,3,4,4,5,4,4,4,5,3,1,,,1,5,4,3,2,,,,90,3,2,1,,,,,,,,,,,,,1,2,,,,,,,,3,2,3,2,1,1,3,1,1,,,,,,,90,2,3,3,2,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,4,,,,,,,,1,47,3,101.2436149,103.5176471
2415,1,16 SOCIEDAD POR ACCIONES SIMPLIFICADA,1,1,2,1,1,,,,,,,,,2,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,,,6,,8,,,,,,2,2,1,,,4,5,,,2,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,3,4,3,1,3,2,1,3,5,4,3,2,2,1,2,2,2,2,1,2,2,3,1,,,,4,,,,,9,,,,,,,,,,4,,,,,,,,,,,,5,5,4,3,3,4,5,5,4,4,3,4,4,10,,,5,4,3,2,1,,,,90,1,1,,,,,,,,,,,,,90,1,2,,,,,,,,92,2,92,2,1,1,3,92,1,2,,,,,,90,2,2,3,2,,,,,,,,,,,,,,1,,,,5,,7,,,,,,,3,4,,,,,,,,2,39,5,212.4869565,209.6189112
2416,1,01 PERSONA NATURAL,1,1,2,1,1,,,,,,,,1,,,,,6,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,6,,,,2,3,,,,7,,,,,,,,,,,,,,,,2,,,0,,2,,4,,,,,9,,,,,3,2,,2,,,,,,1,,,,,,,,,,1,1,,,,,6,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,1,2,4,2,2,1,2,1,4,1,3,2,2,3,3,2,1,1,2,1,1,2,4,2,,,3,,5,,,,,,,12,,,,,,,4,,6,,,,,,,,,,3,3,3,2,2,4,5,5,4,4,2,3,4,5,,,5,4,1,2,3,,,,90,3,2,1,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,2,3,3,1,,,,,,,90,2,4,2,2,,,,,,,,,,,,,,1,2,,,,,,,,,,1,,,,5,6,,,,,,1,59,3,212.4869565,209.6189112
2417,3,16 SOCIEDAD POR ACCIONES SIMPLIFICADA,1,1,1,1,1,,,,,,,,,2,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,0,1,,,,,6,,,9,,,,,3,1,1,,,,5,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,3,3,4,3,3,1,3,4,4,4,4,3,4,4,3,1,1,2,4,3,2,3,4,,,,,,,,,,,,12,,,,,,,,,,,,,,,12,,,,3,3,3,4,3,3,3,5,2,4,2,4,2,8,,,1,2,4,5,3,,,,90,1,2,1,,,,,,,,,,,,,1,1,"HERRAMIENTAS CONTABLES, INVENTARIOS, CONTROL DIAN, PLANTILLAS",6,15,35,,,,1,2,2,1,1,1,1,92,,,3,,,,,90,2,2,3,2,,,,,,,,,,,,,,,2,,4,5,,,,,,,1,2,,,,,,,,,,2,31,4,101.2436149,103.5176471
2418,1,01 PERSONA NATURAL,1,1,2,1,1,,,,,,,,,2,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,0,,,,,,,,,9,,,,,1,2,,,3,,,,,1,,,,,,,,,,1,,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,3,2,3,3,1,2,,,3,,,,,8,9,,,,,,,,2,,,,,,8,9,,,,,,,3,3,3,3,3,3,3,5,5,5,5,5,5,7,,,1,2,5,3,4,,,,90,2,2,1,,,,,,,,,,,,,1,1,LLEVAR CONTABILIDAD. EN CUADERNO FISCAL,34,,,,,,4,1,2,2,1,2,1,2,,2,,,,,,90,2,3,2,2,,,,,,,,,,,,,,,,,,,,7,,,,,,,3,,,,,,,,,2,32,4,212.4869565,209.6189112
2419,1,01 PERSONA NATURAL,1,1,2,1,1,,,,,,,,1,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,5,,,,1,,,,5,,,,9,,,,,,,,,,,,,,2,,,0,,,,,,6,,,,,,12,,3,2,1,,,,,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,3,3,3,4,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,,,,,,,,,9,,,,,,,,,,4,,6,,8,,,,,,,,3,3,4,4,4,4,4,4,3,4,3,4,3,10,,,2,3,5,4,1,,,,90,2,1,,,,,,,,,5,,,,,1,1,FACTURACION ELECTRONICA,13,,,,,,3,2,2,2,1,1,3,2,1,,,,,,,90,3,4,2,2,,,,,,,,,,,,,,,2,,,5,,,,,,,,,,4,,,,,,,,1,31,4,212.4869565,209.6189112
2420,1,01 PERSONA NATURAL,1,1,2,1,1,,,,,,,,,,3,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,8,1,,,,5,,,,9,,,,,,,,,,,,,,2,,,0,,2,,,,,,8,9,,,,,3,2,,2,3,,,,,2,,,3,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,4,4,3,3,3,2,2,3,3,3,3,3,3,4,2,3,2,3,2,2,3,3,,2,,,5,,,,,,,12,,,,,,,,,6,7,8,,,,,,,,4,5,3,4,4,5,3,4,4,2,3,3,3,10,,,5,3,4,2,1,,,,90,2,2,1,2,,,,,,,,,,,,1,2,,,,,,,,1,2,2,1,1,1,3,3,,,3,,,,,90,2,3,3,2,,,,,,,,,,,,,,,2,,,5,,,,,,,,2,3,,,,,,,,,1,41,6,212.4869565,209.6189112
2421,1,01 PERSONA NATURAL,1,1,2,1,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2,,,0,,,,,,,,8,,,,12,,4,1,,2,,,,,,1,,,,,,,,,,1,,,,,,,7,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,4,5,1,,,,,,,8,,,,,,,,,,,,,6,,,9,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,1,4,3,2,5,,2,,,2,1,,,,,,,,,,6,,,,1,1,"LOS MOVIMIENTOS DE PLATAFORMAS, SI HACEN TRANSACCIONES A UN. MISMO SISTEMA NO ESTARIA HACIENDO LAVADO DE ACTIVOS.",19,,,,,,3,1,1,1,1,1,1,1,,,3,,,,3,,2,1,2,2,,,,,,,,,,,,,,,2,,,,,,,,,,,2,3,,,,,,,,,1,30,3,212.4869565,209.6189112
2422,1,01 PERSONA NATURAL,1,1,2,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,8,,2,,,,,,,,,,,,,,,,,,,,,2,,,0,,,,4,,6,,,9,,,,,2,3,,2,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,3,2,4,2,2,2,4,5,2,3,4,2,3,1,4,4,3,2,2,3,4,4,,2,,,,,7,8,,,,,,,,,,,,,,,8,9,10,,,,,,4,5,3,2,4,3,5,3,2,4,2,2,3,2,,,1,3,4,5,2,,,,90,2,1,,,,,,2,,,,6,,,,1,1,Comprar todos los productos con factura legal y lugares reconocidos,13,,,,,,4,1,1,1,1,1,1,1,1,2,3,,,,,90,2,1,3,1,1,2,2,2,1,2,2,1,2,1,,Por medio del correo electrónico y directamente en la entidad financiera,5,1,2,,,,,,,,,,1,2,3,,,,,,,,,1,42,3,212.4869565,209.6189112
2423,3,16 SOCIEDAD POR ACCIONES SIMPLIFICADA,1,1,2,1,1,,,,,,,,1,,,,5,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,9,,,,,,,,,,,,,,2,,,0,,,,,5,6,,,9,,,,,3,1,1,,,,,,,2,,,3,,5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,3,4,4,3,4,3,4,3,4,4,3,4,3,4,3,4,4,4,3,2,3,2,4,,2,3,4,,,,,,,,,,,,,,,,,6,,8,,,,12,,,,4,4,4,4,4,5,4,4,5,4,4,4,5,8,,,2,3,1,4,5,1,,,,1,2,1,,,,,,,,,,,,,1,2,,,,,,,,3,2,3,1,1,1,3,1,,,3,,,,,90,2,3,3,2,,,,,,,,,,,,,,,2,,4,,,,,,,,,,3,,,,7,,,,,2,33,4,212.4869565,209.6189112
2424,1,16 SOCIEDAD POR ACCIONES SIMPLIFICADA,1,1,2,1,1,,,,,,,,1,,3,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,6,,,,,,,,,,,,,,,,,2,,,0,,2,,,,,,,,,,,,4,1,,2,3,,,,,2,1,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,,,3,,,,,,,,,12,,,,,,,4,,,,8,,,,,,,,5,5,4,5,5,4,5,5,4,4,4,4,4,8,,,3,1,2,4,5,,,,90,3,2,1,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,1,2,3,,,,4,,,,90,3,4,2,2,,,,,,,,,,,,,,,,,4,,6,,,,,,,2,,,,,7,,,,,2,55,4,212.4869565,209.6189112
2425,2,16 SOCIEDAD POR ACCIONES SIMPLIFICADA,1,1,1,2,1,,,,,,,,1,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,5,,,,1,,,,,6,,,,,,,,,,,,,,,,,2,2,1,0,,,,,,,,,,,,,90,3,1,,,3,,,,,1,,,,,,,,,,1,,,,,,6,,,,,2,5,5,5,5,5,,,,,,,,,9,2,,5,5,5,3,5,,,,4,,,,,,1,2,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,3,1,3,3,3,,,,4,,,7,,9,,,,,,,,,,,,6,,,9,,11,,,,,5,5,5,5,5,5,5,5,5,2,5,2,2,10,,,2,5,3,1,4,,,,90,3,2,1,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,1,4,92,,,,4,,,,90,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,7,,,,,3,28,4,122.0810811,106.4897959
